#English Sentences (0-50): 
#Redone based on Deepti Misra Sharma's tagset

#Sentence 1:
The adj
government k1
announced V
new adj
research adj
grants k2
for -
students k4
. PUNC

#Sentence 2:
Global adj
temperatures k1
reached V
a adj
record adj
high k2
last adj
month k7
. PUNC

#Sentence 3:
Stock adj
markets k1
reacted V
sharply adv
to -
the adj
central adj
bank adj
decision k2
. PUNC

Sentence 4:
Scientists k1
discovered V
a adj
new adj
species k2
in -
the adj
Western adj
Ghats k7
. PUNC

#Sentence 5:
Space adj
Exploration k1
reaches V
a adj
new adj
milestone k2
this adj
week k7
. PUNC

#Sentence 6
The          adj
trade        adj
agreement    k1
aims         V
to           rt
reduce       V
export       adj
tariffs      k2
significantly adv
.            PUNC

#Sentence 7
Local        adj
communities  k1
are          V
working      V
to           rt
restore      V
the          adj
ancient      adj
temple       k2
.            PUNC

#Sentence 8
Technology    adj
firms         k1
are           V
investing     V
heavily       adv
in            -
artificial    adj
intelligence  k2
.             PUNC

#Sentence 9
Oil           adj
prices        k1
stabilized    V
after         -
the           adj
recent        adj
production    adj
cut           adj
announcement  k2
.             PUNC

#Sentence 10
The          adj
university   adj
campus       k1
will         V
host         V
the          adj
national     adj
sports       adj
meet         k2
.            PUNC

#Sentence 11
Renewable    adj
energy       adj
projects     k1
are          V
expanding    V
across       -
the          adj
rural        adj
sector       k7
.            PUNC

#Sentence 12
Global       adj
supply       adj
chains       k1
are          V
recovering   V
from         -
recent       adj
disruptions  k2
.            PUNC

#Sentence 13
Urban        adj
planning     k1
must         V
focus        V
on           -
sustainable  adj
public       adj
transport    k2
.            PUNC

#Sentence 14
Art          adj
exhibitions  k1
in           -
the          adj
city         k7
are          V
drawing      V
large        adj
crowds       k2
.            PUNC

#Sentence 15
The          adj
tech         adj
startup      k1
secured      V
funding      k2
for          -
its          adj
innovative   adj
platform     k4
.            PUNC

#Sentence 16
Monsoon      adj
rains        k1
reached      V
the          adj
southern     adj
coast        k2
earlier      adv
than         -
expected     V
.            PUNC

#Sentence 17
Public       adj
health       adj
initiatives  k1
have         V
reduced      V
the          adj
spread       k2
of           -
disease      r6
.            PUNC

#Sentence 18
E-commerce   adj
growth       k1
continues    V
to           rt
transform    V
the          adj
retail       adj
landscape    k2
.            PUNC

#Sentence 19
High         adj
court        adj
judges       k1
emphasized   V
the          adj
importance   k2
of           -
digital      adj
privacy      r6
.            PUNC

#Sentence 20
Educational  adj
reforms      k1
are          V
being        V
implemented  V
in           -
several      adj
states       k7
.            PUNC

#Sentence 21
Manufacturing adj
output        k1
increased     V
for           -
the           adj
third         adj
consecutive   adj
month         k7
.             PUNC

#Sentence 22
Archaeological adj
